id,value
f,
f.0,
f.0.手机,3518
f.0.京东,2716
f.0.问题,1379
f.0.客服,1305
f.0.降价,1147
f.0.苹果,1117
f.0.没有,1097
f.0.就是,800
f.0.屏幕,784
f.0.感觉,761
f.0.差评,752
f.0.什么,710
f.0.激活,707
f.0.知道,671
f.0.包装,666
f.0.还是,653
f.0.售后,608
f.0.可以,592
f.0.有点,569
f.0.不到,569
f.0.不错,562
f.0.东西,531
f.0.刚买,528
f.0.快递,502
f.0.不是,488
f.0.电池,477
f.0.几天,473
f.1,
f.1.一个月,459
f.1.正品,457
f.1.真的,452
f.1.退货,427
f.1.一个,423
f.1.不能,415
f.1.翻新,401
f.1.垃圾,398
f.1.发票,397
f.1.不好,396
f.1.但是,388
f.1.时候,382
f.1.打电话,381
f.2,
f.2.收到,378
f.2.声音,375
f.2.现在,374
f.2.失望,365
f.2.发现,358
f.2.价格,351
f.2.这个,347
f.2.出现,341
f.2.购物,333
f.2.第一次,327
f.2.是不是,323
f.2.申请,319
f.2.不了,317
f.2.满意,315
f.2.而且,312
f.2.怎么,311
f.2.信号,310
f.2.为什么,309
f.2.一次,308
f.2.物流,307
f.2.机子,305
f.3,
f.3.一直,299
f.3.质量,297
f.3.充电,290
f.3.使用,290
f.3.一天,275
f.3.居然,274
f.3.以后,273
f.3.这样,271
f.3.买手机,259
f.3.死机,256
f.3.自己,256
f.3.这么,255
f.3.有时候,254
f.3.系统,252
f.3.第二天,249
f.3.今天,248
f.3.速度,248
f.3.划痕,245
f.3.不行,244
